                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3961,                 2.1786,                 1.6906,                0.41389,                0.30264,                0.27968,                0.12593,                 1.8958,                 2.7287,                 2.3629,             0.00047516,             0.00047516,             0.00047516
                      2,                 1.5636,                 2.2216,                 1.8255,                0.37102,                0.32475,                0.28436,                0.12275,                 2.0195,                 2.8062,                 2.4709,             0.00093265,             0.00093265,             0.00093265
                      3,                 1.5518,                  2.238,                 1.8404,                 0.5335,                0.42117,                0.44106,                0.21424,                 1.8283,                  2.153,                 2.3254,              0.0013713,              0.0013713,              0.0013713
                      4,                 1.4955,                  2.131,                 1.7896,                0.44454,                0.44034,                0.38445,                0.18188,                 1.7799,                 2.1367,                 2.2663,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.429,                 1.9722,                  1.727,                0.59798,                0.44794,                0.50455,                0.26349,                 1.6717,                 1.8957,                 2.0737,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3748,                 1.8822,                 1.6965,                0.60386,                0.48991,                0.54455,                0.29575,                 1.5655,                 1.7892,                 1.9697,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.331,                 1.7697,                 1.6545,                0.58549,                0.54076,                0.55835,                0.32479,                 1.4593,                 1.7554,                 1.8573,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3113,                 1.7184,                 1.6457,                0.66578,                0.53946,                0.61465,                0.35452,                 1.4731,                 1.5561,                 1.8797,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2812,                  1.659,                 1.6078,                 0.6276,                0.57361,                0.61839,                0.36654,                  1.465,                 1.5354,                 1.8664,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2516,                 1.5683,                 1.5781,                0.69429,                 0.5602,                 0.6226,                0.34529,                 1.4902,                 1.4672,                 1.8982,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2426,                 1.5479,                 1.5635,                0.70609,                0.61977,                0.69632,                0.41608,                 1.3912,                 1.3474,                 1.7734,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2178,                 1.4922,                 1.5539,                0.69887,                 0.6067,                 0.6653,                0.40376,                 1.3945,                 1.3531,                 1.7879,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1934,                 1.4586,                 1.5297,                0.75645,                0.61582,                 0.7112,                0.43108,                 1.3718,                  1.267,                 1.7352,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1823,                 1.4241,                 1.5182,                0.74915,                0.67916,                0.75109,                0.47163,                 1.3008,                 1.2144,                 1.6899,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1685,                 1.3769,                  1.509,                0.73925,                0.65652,                0.73987,                0.46843,                 1.2948,                 1.1861,                 1.6715,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1473,                 1.3471,                 1.4947,                0.76206,                0.64513,                0.72827,                0.47135,                 1.2935,                 1.1907,                 1.6633,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1302,                 1.3347,                 1.4817,                0.72388,                0.63695,                0.71565,                0.45999,                 1.2685,                 1.2372,                 1.6644,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1183,                 1.2837,                   1.47,                0.79275,                0.69895,                0.77935,                0.49396,                 1.2668,                 1.1073,                 1.6524,               0.000948,               0.000948,               0.000948
                     19,                 1.1031,                 1.2562,                 1.4549,                 0.7608,                0.70401,                 0.7589,                0.48287,                 1.2551,                 1.1268,                 1.6298,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0993,                 1.2354,                 1.4518,                0.81242,                0.68257,                0.77401,                0.49919,                  1.229,                 1.0842,                  1.628,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0969,                 1.2164,                 1.4459,                0.80712,                 0.6932,                0.78041,                0.50321,                 1.2317,                 1.0611,                 1.6157,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0872,                 1.1837,                 1.4333,                0.75044,                0.71533,                0.76793,                0.49138,                 1.2718,                 1.0553,                 1.6379,             0.00083482,             0.00083482,             0.00083482
                     23,                  1.062,                 1.1576,                 1.4169,                0.77981,                 0.6736,                0.75893,                0.49179,                 1.2121,                 1.0787,                 1.5961,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.0532,                 1.1356,                 1.4136,                0.80016,                 0.7228,                0.79542,                0.52253,                 1.2186,                0.99979,                 1.5879,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0433,                 1.1047,                 1.4004,                 0.8211,                0.70864,                0.79404,                0.51444,                 1.2502,                0.97917,                 1.6299,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0324,                 1.0831,                 1.3935,                0.78666,                0.73225,                0.79526,                0.52423,                 1.2081,                0.99008,                 1.5848,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0154,                  1.063,                 1.3808,                0.77965,                0.74789,                0.80702,                0.54289,                  1.174,                0.95056,                 1.5506,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0084,                 1.0447,                 1.3797,                0.77475,                0.74128,                0.80282,                0.53665,                 1.1732,                0.95052,                 1.5468,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0037,                 1.0448,                 1.3686,                0.81891,                0.74117,                0.81359,                0.54651,                 1.1766,                0.91712,                 1.5478,             0.00063676,             0.00063676,             0.00063676
                     30,                0.99181,                 1.0094,                 1.3591,                0.79318,                0.74159,                0.80364,                0.54334,                 1.1556,                0.91798,                 1.5427,             0.00060847,             0.00060847,             0.00060847
                     31,                0.97953,                0.98729,                  1.348,                0.82263,                0.72686,                0.81466,                0.54485,                 1.1823,                0.92266,                  1.558,             0.00058017,             0.00058017,             0.00058017
                     32,                 0.9589,                0.96029,                 1.3377,                 0.8337,                0.72206,                0.81425,                0.55066,                 1.1676,                0.90351,                  1.543,             0.00055188,             0.00055188,             0.00055188
                     33,                0.95808,                0.95854,                 1.3374,                0.81569,                0.75548,                0.82751,                 0.5571,                 1.1681,                0.89078,                 1.5436,             0.00052359,             0.00052359,             0.00052359
                     34,                0.94972,                 0.9353,                 1.3304,                0.82627,                0.74669,                0.82777,                0.56425,                 1.1556,                0.86233,                 1.5286,             0.00049529,             0.00049529,             0.00049529
                     35,                0.93972,                0.91933,                 1.3198,                0.85521,                0.74918,                0.83551,                0.57598,                 1.1352,                0.84443,                 1.5138,               0.000467,               0.000467,               0.000467
                     36,                0.92449,                0.89541,                 1.3098,                0.85018,                0.74377,                0.83217,                0.56369,                 1.1536,                0.86296,                 1.5417,              0.0004387,              0.0004387,              0.0004387
                     37,                 0.9242,                0.88588,                 1.3015,                0.81488,                0.75318,                0.82696,                0.56284,                 1.1459,                0.86056,                 1.5356,             0.00041041,             0.00041041,             0.00041041
                     38,                0.91635,                0.87989,                 1.3033,                0.84738,                0.74305,                0.83736,                0.57615,                 1.1409,                0.84915,                 1.5274,             0.00038211,             0.00038211,             0.00038211
                     39,                0.89896,                0.85958,                 1.2882,                0.82372,                0.76959,                 0.8259,                0.56566,                 1.1363,                0.85094,                 1.5219,             0.00035382,             0.00035382,             0.00035382
                     40,                0.88164,                 0.8308,                 1.2761,                0.84531,                0.75285,                0.83113,                0.56888,                 1.1446,                0.84131,                  1.523,             0.00032553,             0.00032553,             0.00032553
                     41,                0.80888,                0.59334,                 1.2622,                0.86236,                0.75502,                0.83477,                0.57784,                 1.1276,                0.83399,                 1.5271,             0.00029723,             0.00029723,             0.00029723
                     42,                0.77862,                0.55546,                 1.2304,                0.85223,                0.74547,                 0.8266,                0.57504,                 1.1218,                0.82517,                 1.5291,             0.00026894,             0.00026894,             0.00026894
                     43,                0.75912,                0.54383,                  1.216,                0.85903,                 0.7544,                0.84397,                0.59227,                 1.0983,                0.79749,                 1.5008,             0.00024064,             0.00024064,             0.00024064
                     44,                0.74131,                0.51068,                 1.2019,                0.81921,                0.77304,                0.83506,                0.58717,                  1.102,                0.81827,                 1.5066,             0.00021235,             0.00021235,             0.00021235
                     45,                0.72707,                0.49585,                 1.1861,                0.84275,                0.75678,                0.84032,                0.59155,                 1.1058,                0.80434,                 1.5081,             0.00018406,             0.00018406,             0.00018406
                     46,                0.72018,                0.48936,                 1.1776,                0.84626,                0.77928,                 0.8451,                 0.5972,                 1.1039,                0.79003,                 1.5147,             0.00015576,             0.00015576,             0.00015576
                     47,                0.69465,                0.46722,                 1.1595,                0.83382,                0.77038,                 0.8473,                0.59763,                 1.0953,                0.78537,                 1.5147,             0.00012747,             0.00012747,             0.00012747
                     48,                0.68964,                0.45574,                 1.1598,                0.88112,                0.76307,                0.85044,                 0.6019,                 1.1036,                0.77385,                 1.5188,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.67852,                 0.4554,                 1.1502,                0.87999,                0.75396,                0.84714,                0.60181,                 1.1047,                0.78048,                 1.5244,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.66721,                0.43424,                 1.1346,                0.87861,                0.74768,                0.85006,                 0.6079,                 1.0937,                0.77098,                 1.5071,             4.2584e-05,             4.2584e-05,             4.2584e-05
