                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0098,                 1.1124,                 1.4047,                0.73245,                0.58542,                0.66505,                 0.4401,                 1.3479,                 1.2942,                 1.8099,             0.00036954,             0.00036954,             0.00036954
                      2,                 1.1739,                  1.396,                 1.5379,                 0.7291,                0.54779,                0.61333,                0.39968,                 1.4131,                 1.5919,                 1.8393,             0.00072522,             0.00072522,             0.00072522
                      3,                 1.2333,                 1.5689,                 1.6018,                0.67205,                0.55089,                0.59272,                0.36289,                 1.4476,                 1.4607,                 1.8846,              0.0010662,              0.0010662,              0.0010662
                      4,                 1.2421,                 1.5841,                 1.6023,                0.67561,                0.50737,                0.57847,                0.36984,                 1.4833,                 1.5183,                 1.9211,               0.001045,               0.001045,               0.001045
                      5,                 1.2357,                 1.5799,                  1.606,                0.63685,                0.55678,                0.61012,                0.39777,                 1.3585,                 1.4781,                 1.7786,               0.001023,               0.001023,               0.001023
                      6,                 1.2141,                 1.5232,                 1.5724,                 0.7254,                0.55239,                0.63585,                0.41619,                 1.3726,                 1.4002,                 1.8125,               0.001001,               0.001001,               0.001001
                      7,                 1.1873,                 1.4831,                 1.5634,                0.67618,                0.55585,                0.61217,                0.39293,                 1.3967,                  1.429,                  1.817,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.1749,                 1.4681,                 1.5486,                0.68299,                  0.576,                0.63612,                0.41303,                 1.3833,                 1.3937,                 1.7997,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.1577,                 1.4182,                 1.5371,                0.72312,                0.58043,                0.65185,                0.43569,                 1.3305,                  1.305,                 1.7432,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.1556,                 1.4054,                  1.532,                0.75938,                0.57615,                0.66803,                0.44445,                 1.3056,                 1.2814,                 1.7322,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.1496,                 1.3832,                 1.5248,                 0.7098,                 0.6106,                0.67241,                0.44495,                 1.2973,                 1.2818,                 1.7365,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.1282,                 1.3554,                 1.5049,                0.72268,                0.58218,                0.66129,                 0.4451,                 1.3112,                 1.3255,                 1.7478,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.1303,                 1.3316,                 1.5056,                0.77669,                0.59012,                0.67518,                0.45268,                 1.2974,                 1.2071,                 1.7296,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.1194,                 1.3099,                 1.4966,                0.75701,                0.59875,                0.68276,                 0.4613,                 1.2813,                 1.2876,                 1.7027,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.1143,                 1.2853,                 1.4912,                0.75708,                0.61707,                 0.7002,                0.47369,                 1.2771,                 1.2366,                 1.6845,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.1054,                 1.2771,                 1.4785,                0.75822,                0.60477,                0.69096,                0.46555,                 1.2729,                   1.22,                 1.6912,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.0896,                 1.2584,                 1.4766,                0.75326,                0.60175,                 0.6936,                0.46636,                 1.2875,                 1.2264,                 1.6902,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.0731,                 1.2272,                 1.4593,                0.78512,                0.61631,                0.69984,                0.47932,                 1.2705,                 1.1629,                 1.6854,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.0753,                 1.2216,                 1.4511,                0.75671,                0.62914,                0.70381,                 0.4815,                 1.2544,                 1.1316,                 1.6657,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.0672,                 1.2087,                 1.4506,                0.77339,                0.63379,                0.71371,                0.49074,                 1.2505,                 1.1476,                 1.6653,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.0471,                 1.1808,                 1.4346,                0.80756,                0.62902,                 0.7298,                0.48981,                 1.2443,                 1.0817,                 1.6733,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.0516,                 1.1713,                 1.4372,                0.76995,                0.63708,                  0.722,                0.49776,                 1.2321,                 1.1038,                 1.6508,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.0494,                 1.1523,                 1.4323,                0.76565,                0.64132,                 0.7149,                0.49381,                 1.2479,                 1.1125,                 1.6551,             0.00062705,             0.00062705,             0.00062705
